partner_name,im_team_name
UW Advancement,ERA
UW Police Department,ERA
UW Police Department,ERA
University of Washington Athletics,ERA
Airlift Northwest,ERA
PRES: UWINCO,ERA
College of Engineering,ERA
UW MED,ERA
UWFIN: DATAGroup,ERA
Registrar,A&D
Institutional Research,A&D
UW Tacoma,A&D
FAS,A&D
PAS,A&D
Finance,A&D
OPB,A&D
IAM,A&D
IAM,A&D
HR,A&D
Financial Aid,A&D
Enterprise Architecture,A&D
ORIS,A&D
Graduate School,A&D
SDB,A&D
SDB,A&D
UWFIN,A&D
UWFIN,A&D
UWFIN,A&D
Financial Aid,A&D
Graduate School,A&D
Graduate School,A&D
Registrar,A&D
SOM,A&D
SOM,A&D
Academic HR,A&D
School of Engineeriing,A&D
SoM,A&D
Procurement,A&D
Financial Aid,A&D
Advancement,A&D
Enterprise Applications,A&D
HR,A&D
Enterprise Architecture,A&D
Registrar,A&D
SDB,A&D
Registrar,A&D
SDB,A&D
School of Business,A&D
Project Manager,A&D
ORIS,A&D
Graduate School,A&D
Graduate School,A&D
School of Engineering,A&D
School of Public Health,A&D
Housing and Food Services,A&D
UW Tacoma,A&D
Academic HR,A&D
Arts and Sciences,A&D
UW-IT,A&D
OPB,A&D
OPB,A&D
Finanial Management,A&D
Student Finance,A&D
Academic Personnel,A&D
Academic Personnel,A&D
Northwest Hospital,A&D
UW Medicine (supporting NWH),A&D
ISC (Supportihg NWH),A&D
Northwest Hospital,A&D
UW Medicine (supporting NWH),A&D
"ISC - HCM, Academics, Talent & Performance",A&D
"ISC - HCM, Academics, Talent & Performance",A&D
ISC - Payroll,A&D
ISC - Program Operations,A&D
"HR Benefits, Analytics and Information Systems",A&D
SOM,A&D
SOM,A&D
Graduate School,A&D
Graduate School,A&D
UWFT,A&D
Finanial Management,A&D
UW Medicine,A&D
UW Medicine,A&D
SOM,A&D
UW medicine,A&D
OPB,A&D
UWFT,A&D
UWFT,A&D
UWFT,A&D
ISC,A&D
Finanial Management,A&D
UW Finance,A&D
UW Medicine,A&D
UW Finance,A&D
University Registrar EIS,A&D
"Policy and Procedure, PROV: University Registrar",A&D
Student Fiscal Services (SFS),A&D
"Enrollment Information Services, PROV: University Registrar",A&D
UWFIN: Student Fiscal Service,A&D
", UW-IT: Student Program: Production",A&D
UW-IT: Student Program: Production,A&D
VPR: ORIS: Data Support Services,A&D
VPR: ORIS: Research Lifecycle,A&D
"System Architecture, UA: Information Management",A&D
UA: Information Management,A&D
UW-IT: IM: Custom Solutions,A&D
UW-IT: IM: Custom Solutions,A&D
"Compliance, UWFIN: Research Compliance and Operations",A&D
UW-IT: Student Program: Product Analysis,A&D
UWFIN: Post Award Fiscal Compliance,A&D
Database Systems,EDW
Database Systems,EDW
Database Systems,EDW
Database Systems,EDW
Database Systems,EDW
Database Systems,EDW
Identity & Access Management,EDW
Computing & Storage,EDW
Workforce Strategy & Development,EDW
Workforce Strategy & Development,EDW
Workforce Strategy & Development,EDW
Identity & Access Management,EDW
Identity & Access Management,EDW
Windows Engineering,EDW
Windows Engineering,EDW
Windows Engineering,EDW
Student Program,EDW
Student Program,EDW
Student Program,EDW
Technology Service Center,EDW
Technology Service Center,EDW
Technology Service Center,EDW
Technology Service Center,EDW
CISO,EDW
Enterprise Architecture,EDW
PMO,EDW
Technology Business Continuity,EDW
UW-IT HR,EDW
UW-IT HR,EDW
ORIS,EDW
ORIS,EDW
ORIS,EDW
ORIS,EDW
School of Medicine,EDW
School of Medicine,EDW
School of Medicine,EDW
School of Medicine,EDW
OPB,EDW
Internal Audit,EDW
BAF,EDW
